mot_id_x,temp_x,hum_x,light_x,vol_x,index,mot_id_y,temp_y,hum_y,light_y,vol_y,mot_id_x,temp_x,hum_x,light_x,vol_x,mot_id_y,temp_y,hum_y,light_y,vol_y,mot_id_x,temp_x,hum_x,light_x,vol_x,mot_id_y,temp_y,hum_y,light_y,vol_y,mot_id_x,temp_x,hum_x,light_x,vol_x,mot_id_y,temp_y,hum_y,light_y,vol_y,mot_id_x,temp_x,hum_x,light_x,vol_x,mot_id_y,temp_y,hum_y,light_y,vol_y,mot_id_x,temp_x,hum_x,light_x,vol_x,mot_id_y,temp_y,hum_y,light_y,vol_y,mot_id_x,temp_x,hum_x,light_x,vol_x,mot_id_y,temp_y,hum_y,light_y,vol_y,mot_id_x,temp_x,hum_x,light_x,vol_x,mot_id_y,temp_y,hum_y,light_y,vol_y,mot_id,temp,hum,light,vol
1.0,19.7434,38.5993,43.24,2.68742,2530,2.0,20.1648,39.3823,121.44,2.67532,33.0,19.7336,39.0082,101.2,2.69964,34.0,19.0672,40.973,60.72,2.68742,35.0,20.0472,40.5004,172.96,2.62796,36.0,19.5474,41.6797,75.44,2.67532,37.0,20.2432,41.2425,195.04,2.69964,38.0,19.42,39.2123,180.32,2.63964,39.0,19.8512,40.0268,150.88,2.68742,40.0,19.4788,39.586,114.08,2.68742,41.0,19.077,40.2299,45.08,2.67532,42.0,18.2342,42.25,3.68,2.67532,43.0,19.0476,40.1284,26.68,2.67532,44.0,18.293,42.0824,2.3,2.66332,45.0,18.7438,40.3314,0.92,2.68742,46.0,19.028,40.2976,1.84,2.51661,47.0,18.6262,42.116,0.46,2.67532
1.0,18.734,39.586,43.24,2.67532,2924,2.0,19.1554,39.9929,121.44,2.65143,33.0,18.6164,40.1622,97.52,2.68742,34.0,17.9794,42.25,60.72,2.66332,35.0,18.9104,41.6125,165.6,2.61639,36.0,18.3322,43.0524,71.76,2.66332,37.0,19.1652,42.25,187.68,2.67532,38.0,18.2636,40.6018,172.96,2.61639,39.0,18.6752,41.3771,143.52,2.67532,40.0,18.244,41.3771,108.56,2.67532,41.0,17.8814,41.8476,45.08,2.65143,42.0,16.9112,44.3494,3.68,2.65143,43.0,17.7246,42.0154,26.68,2.65143,44.0,16.8916,44.1836,2.3,2.67532,45.0,17.4796,41.9147,0.92,2.65143,46.0,17.7638,41.7133,1.84,2.50599,47.0,17.3718,43.7186,0.46,2.65143
1.0,18.0676,41.1078,43.24,2.67532,3216,2.0,18.4792,41.6461,121.44,2.65143,33.0,17.8618,41.8476,97.52,2.67532,34.0,17.215,44.1504,57.04,2.65143,35.0,18.1852,43.4524,165.6,2.61639,36.0,17.5972,44.879,71.76,2.65143,37.0,18.3714,43.8848,187.68,2.66332,38.0,17.4012,42.7185,172.96,2.61639,39.0,17.9304,43.2525,143.52,2.66332,40.0,17.46,43.2858,108.56,2.66332,41.0,17.0876,43.9512,45.08,2.65143,42.0,16.0586,46.8851,3.68,2.63964,43.0,16.9504,44.1836,26.68,2.65143,44.0,16.137,46.0655,2.3,2.65143,45.0,16.7642,43.7186,0.92,2.65143,46.0,17.019,43.3191,1.84,2.47467,47.0,16.6956,45.0773,0.46,2.65143
1.0,21.2036,38.7698,250.24,2.69964,4251,2.0,21.1644,40.1284,338.56,2.67532,33.0,21.6936,37.7792,478.4,2.69964,34.0,21.9484,37.3679,964.16,2.69964,35.0,22.0856,38.9401,772.8,2.63964,36.0,22.1934,38.6675,596.16,2.69964,37.0,22.115,39.62,625.6,2.69964,38.0,21.5172,37.1277,684.48,2.65143,39.0,21.7524,38.5311,294.4,2.68742,40.0,21.6544,37.4365,655.04,2.69964,41.0,21.1546,38.1555,507.84,2.67532,42.0,20.7724,39.2463,456.32,2.68742,43.0,21.2428,37.745,279.68,2.69964,44.0,20.4784,39.9591,1670.72,2.67532,45.0,19.91,40.4666,507.84,2.67532,46.0,19.6552,41.6461,250.24,2.51661,47.0,20.1354,41.3098,1140.8,2.66332
1.0,18.7536,42.25,45.08,2.67532,5414,2.0,19.126,42.9523,128.8,2.63964,33.0,18.7144,42.5513,97.52,2.67532,34.0,18.0872,44.7798,60.72,2.65143,35.0,18.9398,44.3825,165.6,2.60491,36.0,18.5086,45.572,75.44,2.65143,37.0,19.1848,45.1103,195.04,2.66332,38.0,18.3812,43.4524,180.32,2.62796,39.0,18.832,44.3162,158.24,2.66332,40.0,18.3714,44.2499,150.88,2.65143,41.0,18.1754,44.3825,294.4,2.63964,42.0,17.264,46.9505,224.48,2.65143,43.0,18.1852,44.4488,323.84,2.65143,44.0,17.2934,47.6687,60.72,2.63964,45.0,17.9108,44.4488,75.44,2.65143,46.0,17.8912,44.9782,30.36,2.49546,47.0,17.4894,47.0159,6.44,2.63964
1.0,24.0456,34.9528,264.96,2.65143,18931,2.0,22.7912,39.2803,353.28,2.62796,33.0,25.3294,32.5102,566.72,2.67532,34.0,22.9872,37.8477,1552.96,2.63964,35.0,23.389,39.0763,861.12,2.59354,36.0,23.8496,38.0187,1729.6,2.63964,37.0,23.3596,40.1961,684.48,2.65143,38.0,24.9766,33.5953,713.92,2.65143,39.0,24.0652,37.5051,309.12,2.66332,40.0,23.5066,38.0529,684.48,2.65143,41.0,24.957,34.536,625.6,2.66332,42.0,23.8202,37.2307,831.68,2.65143,43.0,23.5164,37.3336,382.72,2.65143,44.0,25.2314,35.0568,1847.36,2.66332,45.0,22.2718,40.1961,890.56,2.63964,46.0,21.5564,42.7853,412.16,2.47467,47.0,22.5756,41.0404,1788.48,2.63964
1.0,23.046,38.1897,202.4,2.65143,19141,2.0,22.3404,41.478,323.84,2.62796,33.0,24.3102,36.0257,382.72,2.67532,34.0,22.164,41.1078,1140.8,2.62796,35.0,22.0268,43.0524,684.48,2.58226,36.0,22.1542,42.5847,1258.56,2.62796,37.0,22.8206,42.4174,625.6,2.65143,38.0,23.5556,36.9559,507.84,2.62796,39.0,23.1636,40.1622,309.12,2.65143,40.0,22.7226,40.7706,596.16,2.63964,41.0,23.3204,38.8039,596.16,2.65143,42.0,23.83,37.8134,1376.32,2.65143,43.0,22.654,40.2976,412.16,2.65143,44.0,26.623,33.3507,1199.68,2.68742,45.0,22.9676,40.0607,1788.48,2.65143,46.0,22.2424,42.4509,1258.56,2.47467,47.0,23.8986,39.4162,1847.36,2.65143
1.0,23.5262,36.1983,143.52,2.62796,26659,2.0,23.7222,37.4365,224.48,2.60491,33.0,23.1636,37.162,294.4,2.62796,34.0,21.968,40.1961,655.04,2.60491,35.0,23.1734,39.3143,478.4,2.56,36.0,23.0166,39.5521,655.04,2.61639,37.0,24.8198,37.4022,478.4,2.63964,38.0,24.0162,36.6807,353.28,2.60491,39.0,23.8888,37.9503,235.52,2.62796,40.0,26.4368,32.7907,294.4,2.65143,41.0,26.2408,33.0009,172.96,2.62796,42.0,25.986,33.7,121.44,2.65143,43.0,25.7704,33.979,121.44,2.65143,44.0,25.5744,34.536,48.76,2.65143,45.0,26.0154,32.8608,128.8,2.65143,46.0,25.8782,33.4905,121.44,2.48502,47.0,25.545,34.536,831.68,2.63964
1.0,23.5262,36.1983,143.52,2.62796,26659,2.0,23.7222,37.4365,224.48,2.60491,33.0,23.1636,37.162,294.4,2.62796,34.0,21.968,40.1961,655.04,2.60491,35.0,23.1734,39.3143,478.4,2.56,36.0,23.0166,39.5521,655.04,2.61639,37.0,24.8198,37.4022,478.4,2.63964,38.0,24.0162,36.6807,353.28,2.60491,39.0,23.9378,37.7792,235.52,2.62796,40.0,26.4368,32.7907,294.4,2.65143,41.0,26.2408,33.0009,172.96,2.62796,42.0,25.986,33.7,121.44,2.65143,43.0,25.7704,33.979,121.44,2.65143,44.0,25.5744,34.536,48.76,2.65143,45.0,26.0154,32.8608,128.8,2.65143,46.0,25.8782,33.4905,121.44,2.48502,47.0,25.545,34.536,831.68,2.63964
1.0,23.5948,36.1638,143.52,2.62796,26659,2.0,23.7222,37.4365,224.48,2.60491,33.0,23.1636,37.162,294.4,2.62796,34.0,21.968,40.1961,655.04,2.60491,35.0,23.1734,39.3143,478.4,2.56,36.0,23.0166,39.5521,655.04,2.61639,37.0,24.8198,37.4022,478.4,2.63964,38.0,24.0162,36.6807,353.28,2.60491,39.0,23.8888,37.9503,235.52,2.62796,40.0,26.4368,32.7907,294.4,2.65143,41.0,26.2408,33.0009,172.96,2.62796,42.0,25.986,33.7,121.44,2.65143,43.0,25.7704,33.979,121.44,2.65143,44.0,25.5744,34.536,48.76,2.65143,45.0,26.0154,32.8608,128.8,2.65143,46.0,25.8782,33.4905,121.44,2.48502,47.0,25.545,34.536,831.68,2.63964
1.0,23.5948,36.1638,143.52,2.62796,26659,2.0,23.7222,37.4365,224.48,2.60491,33.0,23.1636,37.162,294.4,2.62796,34.0,21.968,40.1961,655.04,2.60491,35.0,23.1734,39.3143,478.4,2.56,36.0,23.0166,39.5521,655.04,2.61639,37.0,24.8198,37.4022,478.4,2.63964,38.0,24.0162,36.6807,353.28,2.60491,39.0,23.9378,37.7792,235.52,2.62796,40.0,26.4368,32.7907,294.4,2.65143,41.0,26.2408,33.0009,172.96,2.62796,42.0,25.986,33.7,121.44,2.65143,43.0,25.7704,33.979,121.44,2.65143,44.0,25.5744,34.536,48.76,2.65143,45.0,26.0154,32.8608,128.8,2.65143,46.0,25.8782,33.4905,121.44,2.48502,47.0,25.545,34.536,831.68,2.63964
1.0,24.1044,37.3679,294.4,2.63964,26759,2.0,23.1636,40.8043,309.12,2.60491,33.0,26.3682,33.3507,625.6,2.65143,34.0,22.0268,43.3858,1258.56,2.60491,35.0,22.3698,43.8515,1023.04,2.56,36.0,21.9484,44.2499,1494.08,2.59354,37.0,22.9088,43.1525,1023.04,2.61639,38.0,22.0366,41.8812,596.16,2.58226,39.0,22.2816,42.9189,294.4,2.60491,40.0,21.8798,42.5847,566.72,2.60491,41.0,22.164,41.6797,655.04,2.60491,42.0,21.3604,43.3858,596.16,2.60491,43.0,22.115,41.5116,625.6,2.60491,44.0,20.8312,44.6144,566.72,2.60491,45.0,21.2918,42.8521,625.6,2.60491,46.0,20.9096,44.3162,338.56,2.4341,47.0,20.498,46.5249,1494.08,2.59354
1.0,24.3298,37.2993,397.44,2.63964,26791,2.0,23.1734,41.3771,382.72,2.60491,33.0,26.6818,33.0709,890.56,2.66332,34.0,22.4874,42.5178,1847.36,2.60491,35.0,22.3404,44.3825,1494.08,2.56,36.0,22.4482,43.6853,1847.36,2.60491,37.0,22.8304,44.0176,1494.08,2.61639,38.0,22.5266,41.1078,831.68,2.59354,39.0,22.6344,42.5847,353.28,2.61639,40.0,22.1934,42.384,772.8,2.60491,41.0,22.6246,41.2088,802.24,2.60491,42.0,21.7622,43.1858,713.92,2.60491,43.0,22.2228,41.7805,713.92,2.60491,44.0,20.9586,44.9451,802.24,2.60491,45.0,21.5074,43.3525,831.68,2.60491,46.0,21.037,44.5813,412.16,2.4341,47.0,20.5568,47.0159,1847.36,2.59354
1.0,24.3396,37.7107,426.88,2.63964,26797,2.0,23.2224,41.5116,397.44,2.60491,33.0,27.1032,32.5102,964.16,2.66332,34.0,22.605,42.5178,1847.36,2.60491,35.0,22.4874,44.2831,1611.84,2.56,36.0,22.6442,43.2858,1847.36,2.60491,37.0,22.8206,44.0508,1611.84,2.61639,38.0,22.801,40.6355,890.56,2.59354,39.0,22.7128,42.5847,368.0,2.60491,40.0,22.2816,42.3505,802.24,2.60491,41.0,22.7618,40.9392,861.12,2.59354,42.0,21.8112,43.0524,743.36,2.60491,43.0,22.3208,41.7469,743.36,2.60491,44.0,21.086,44.7137,831.68,2.59354,45.0,21.576,43.3858,861.12,2.60491,46.0,21.086,44.5813,426.88,2.4341,47.0,20.5568,47.1467,1847.36,2.58226
1.0,22.3992,42.4509,279.68,2.61639,27609,2.0,22.8304,43.8515,412.16,2.59354,33.0,22.6932,41.5453,596.16,2.62796,34.0,22.9578,41.5789,1847.36,2.60491,35.0,22.5364,44.6144,1081.92,2.54901,36.0,24.0162,40.7706,1847.36,2.61639,37.0,24.271,42.25,890.56,2.62796,38.0,26.4662,34.675,920.0,2.62796,39.0,25.3,39.0082,338.56,2.63964,40.0,24.1142,40.8381,831.68,2.62796,41.0,26.4858,35.2302,831.68,2.63964,42.0,24.1338,40.5004,1435.2,2.62796,43.0,24.173,40.3652,478.4,2.62796,44.0,26.329,35.2302,1847.36,2.65143,45.0,22.6638,43.4857,1552.96,2.60491,46.0,21.38,47.0813,655.04,2.4341,47.0,22.6736,43.6853,1847.36,2.60491
1.0,22.5756,43.9844,39.56,2.60491,31130,2.0,22.948,43.8183,108.56,2.58226,33.0,22.9676,43.1858,101.2,2.61639,34.0,22.6932,44.5813,64.4,2.59354,35.0,23.3498,44.7137,180.32,2.54901,36.0,23.0558,45.4402,60.72,2.59354,37.0,23.5948,45.2093,195.04,2.59354,38.0,23.1342,42.8521,202.4,2.58226,39.0,23.7026,43.0524,165.6,2.60491,40.0,23.4674,42.7519,172.96,2.60491,41.0,23.4478,42.2165,338.56,2.59354,42.0,23.1636,42.7185,224.48,2.59354,43.0,23.683,41.6461,353.28,2.60491,44.0,23.2616,42.4509,79.12,2.60491,45.0,23.3204,42.4509,104.88,2.60491,46.0,23.0656,43.8515,60.72,2.4341,47.0,23.1244,44.2499,114.08,2.60491
1.0,22.5756,43.9844,39.56,2.60491,31130,2.0,22.948,43.8183,108.56,2.58226,33.0,22.9676,43.1858,101.2,2.61639,34.0,22.6932,44.5813,64.4,2.59354,35.0,23.3498,44.7137,180.32,2.54901,36.0,23.0558,45.4402,60.72,2.59354,37.0,23.5948,45.2093,195.04,2.59354,38.0,23.1342,42.8521,202.4,2.58226,39.0,23.7026,43.0524,165.6,2.60491,40.0,23.4674,42.7519,172.96,2.60491,41.0,23.4478,42.2165,338.56,2.59354,42.0,23.1636,42.7185,224.48,2.59354,43.0,23.683,41.6461,353.28,2.60491,44.0,23.2616,42.4509,79.12,2.60491,45.0,23.3106,42.4509,104.88,2.60491,46.0,23.0656,43.8515,60.72,2.4341,47.0,23.1244,44.2499,114.08,2.60491
1.0,22.5756,43.9844,39.56,2.60491,31130,2.0,22.948,43.8183,108.56,2.58226,33.0,22.9676,43.1858,101.2,2.61639,34.0,22.6932,44.5813,64.4,2.59354,35.0,23.3498,44.7137,180.32,2.54901,36.0,23.0558,45.4402,60.72,2.59354,37.0,23.5948,45.2093,195.04,2.59354,38.0,23.1342,42.8521,202.4,2.58226,39.0,23.7026,43.0524,165.6,2.60491,40.0,23.4674,42.7519,172.96,2.60491,41.0,23.4478,42.2165,338.56,2.59354,42.0,23.1636,42.7185,224.48,2.60491,43.0,23.683,41.6461,353.28,2.60491,44.0,23.2616,42.4509,79.12,2.60491,45.0,23.3204,42.4509,104.88,2.60491,46.0,23.0656,43.8515,60.72,2.4341,47.0,23.1244,44.2499,114.08,2.60491
1.0,22.5756,43.9844,39.56,2.60491,31130,2.0,22.948,43.8183,108.56,2.58226,33.0,22.9676,43.1858,101.2,2.61639,34.0,22.6932,44.5813,64.4,2.59354,35.0,23.3498,44.7137,180.32,2.54901,36.0,23.0558,45.4402,60.72,2.59354,37.0,23.5948,45.2093,195.04,2.59354,38.0,23.1342,42.8521,202.4,2.58226,39.0,23.7026,43.0524,165.6,2.60491,40.0,23.4674,42.7519,172.96,2.60491,41.0,23.4478,42.2165,338.56,2.59354,42.0,23.1636,42.7185,224.48,2.60491,43.0,23.683,41.6461,353.28,2.60491,44.0,23.2616,42.4509,79.12,2.60491,45.0,23.3106,42.4509,104.88,2.60491,46.0,23.0656,43.8515,60.72,2.4341,47.0,23.1244,44.2499,114.08,2.60491
1.0,22.5756,43.9844,39.56,2.60491,31130,2.0,22.948,43.8183,108.56,2.58226,33.0,22.9676,43.1858,101.2,2.61639,34.0,22.6932,44.5813,64.4,2.59354,35.0,23.3498,44.7137,180.32,2.54901,36.0,23.0558,45.4402,60.72,2.59354,37.0,23.5948,45.2093,195.04,2.59354,38.0,23.1342,42.8521,202.4,2.58226,39.0,23.7026,43.0524,165.6,2.60491,40.0,23.4674,42.7519,172.96,2.60491,41.0,23.4478,42.2165,338.56,2.59354,42.0,23.1636,42.7185,224.48,2.59354,43.0,23.683,41.6461,353.28,2.60491,44.0,23.2616,42.4509,79.12,2.60491,45.0,23.3204,42.4509,104.88,2.60491,46.0,23.0656,43.8515,60.72,2.4341,47.0,23.1244,44.2499,114.08,2.60491
1.0,22.5756,43.9844,39.56,2.60491,31130,2.0,22.948,43.8183,108.56,2.58226,33.0,22.9676,43.1858,101.2,2.61639,34.0,22.6932,44.5813,64.4,2.59354,35.0,23.3498,44.7137,180.32,2.54901,36.0,23.0558,45.4402,60.72,2.59354,37.0,23.5948,45.2093,195.04,2.59354,38.0,23.1342,42.8521,202.4,2.58226,39.0,23.7026,43.0524,165.6,2.60491,40.0,23.4674,42.7519,172.96,2.60491,41.0,23.4478,42.2165,338.56,2.59354,42.0,23.1636,42.7185,224.48,2.59354,43.0,23.683,41.6461,353.28,2.60491,44.0,23.2616,42.4509,79.12,2.60491,45.0,23.3106,42.4509,104.88,2.60491,46.0,23.0656,43.8515,60.72,2.4341,47.0,23.1244,44.2499,114.08,2.60491
